StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q9.2_1,Q9.2_2,Q9.2_3,Q9.2_4,Q9.2_5,Q9.2_6,Q9.2_7,Q9.3_NPS_GROUP,Q9.3,Q9.5_First Click,Q9.5_Last Click,Q9.5_Page Submit,Q9.5_Click Count,Group
2026-02-05 09:23:41,2026-02-05 09:26:52,0,100,191,1,2026-02-05 09:26:53,R_7vqEDiQtqGo9Gc9,anonymous,EN,2.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,6.0,,,,,2.0
2026-02-05 13:57:44,2026-02-05 14:24:32,0,100,1607,1,2026-02-05 14:24:33,R_13Txw4jOhiM7F3K,anonymous,EN,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,3.105,31.61,31.613,10.0,2.0
2026-02-12 14:45:03,2026-02-12 15:16:19,0,100,1876,1,2026-02-12 15:16:20,R_7Lnj7SMJLY25N6P,anonymous,EN,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,10.0,7.134,31.948,31.951,9.0,2.0
