StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q9.2_1,Q9.2_2,Q9.2_3,Q9.2_4,Q9.2_5,Q9.2_6,Q9.2_7,Q9.3_NPS_GROUP,Q9.3,Q9.5_First Click,Q9.5_Last Click,Q9.5_Page Submit,Q9.5_Click Count,Group
2026-02-05 09:56:46,2026-02-05 10:23:39,0,100,1612,1,2026-02-05 10:23:40,R_1n8BqPB2aEMG3Wt,anonymous,EN,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,,,,,1.0
2026-02-09 15:08:31,2026-02-09 15:23:35,0,100,903,1,2026-02-09 15:23:35,R_59wFBD3Ydf7UIAp,anonymous,EN,2.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,8.0,9.758,62.542,62.549,12.0,1.0
2026-02-17 19:34:55,2026-02-17 19:51:51,0,100,1016,1,2026-02-17 19:51:51,R_34nLlVSAQDlKysK,anonymous,EN,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,3.956,137.775,137.779,12.0,1.0
